"Text";"Created-At";"Id"
"RT ";"Jaktim : Mall Grand Cakung.";
"RT ";"2022-11-19";1.59374811136033587E18
;"2022-11-19";1.59374683840160973E18
"RT ";"2022-11-19";1.59370497212195635E18
"RT ";"2022-11-19";1.59370244556970803E18
;"2022-11-19";1.59365597319693107E18
"Balapan motor mulai terjadi di Antasari sekitar Cipete Raya - Abdul Majid. Jam 12:18 pagi. ";"2022-11-19";1.59365497387046093E18
;"2022-11-18";1.59364926869877555E18
;"2022-11-18";1.59364917131962368E18
;"2022-11-18";1.59364887406890189E18
;"2022-11-18";1.59364833566715085E18
;"2022-11-18";1.59364669309795533E18
"23.29 Sebuah Truk Tangki terbakar di Tol Jakarta-Tangerang dari Cengkareng mengarah Puri Kembangan, saat ini masih dalam penanganan petugas Polri & Damkar. ";"2022-11-18";1.59364311037385933E18
;"2022-11-18";1.5936359939233751E18
;"2022-11-18";1.59363476604927181E18
;"2022-11-18";1.59363318007427891E18
;"2022-11-18";1.5936292414546944E18
;"2022-11-18";1.59362671617786266E18
;"2022-11-18";1.59362553954935194E18
;"2022-11-18";1.59362061558334669E18
;"2022-11-18";1.59361988451187917E18
"RT ";"2022-11-18";1.59359185812226867E18
"Jl. Arteri pondok Indah dekat jl bungur banyak motor lawan arah. Mohon penertibam ";"2022-11-18";1.5935754602478592E18
"RT ";"2022-11-18";1.59357545516434637E18
"Info terkini pukul 19:00 WIB Ruas toll PD.Aren -Serpong lalin lancar di kedua arah, cuaca gerimis ";"2022-11-18";1.59357468618065101E18
;"2022-11-18";1.5935739441073152E18
"RT ";"2022-11-18";1.59356966017519206E18
"RT ";"2022-11-18";1.59356636863676416E18
"RT ";"2022-11-18";1.59355606274945843E18
"17.23 Situasi terkini sore hari wilayah Bandara Soekarno-Hatta setelah dilakukan evakuasi Truck yang mengalami kecelakaan di Tol Sedyatmo KM 29 arah Jakarta ";"2022-11-18";1.59355394380387533E18
;"2022-11-18";1.59355320168855142E18
;"2022-11-18";1.59355208152030003E18
;"2022-11-18";1.59354900264112538E18
"RT ";"2022-11-18";1.59354879134849024E18
"16.49 Situasi lalu lintas di Bundaran HI Jakpus terpantau ramai lancar ";"2022-11-18";1.59354466988734464E18
"16.42 Situasi lalu lintas di Traffic Light Mega Rabbani Jl. Raya Pemuda Rawamangun Pulogadung Jaktim terpantau ramai lancar ";"2022-11-18";1.59354108847183872E18
"RT ";"2022-11-18";1.59353923880894054E18
"Perbaikan halte cawang arah bekasi hanya ada 1 lajur, ada truk parkir. ";"2022-11-18";1.59353840591661056E18
"16.30 Situasi lalu lintas di Jl. Daan Mogot Jakbar arah Tangerang terpantau ramai lancar ";"2022-11-18";1.59353745924541645E18
"Min ";"2022-11-18";1.5935368293154857E18
"16.19 Situasi lalu lintas di Tol Janger Km 1 arah Tomang Lancar arah sebaliknya arah Kebun Jeruk terpantau padat ";"2022-11-18";1.59353433013526118E18
"?";"2022-11-18";1.5935313955313623E18
"RT ";"2022-11-18";1.59352870227689882E18
"RT ";"2022-11-18";1.5935231100780544E18
;"2022-11-18";1.59351740631993549E18
;"2022-11-18";1.59351616637425254E18
"14.54 Polri Sat PJR Dit Lantas PMJ pengamanan & pengaturan Kecelakaan Lalu Lintas sebuah truk terguling di Tol Sedyatmo KM 29 arah Jakarta, saat ini sedang proses penaganan Polri lalu lintas padat ";"2022-11-18";1.59351382585233818E18
"Mana ini robot damkar DKI ko gak pernah kelihatan? ";"2022-11-18";1.59351175489797325E18
"Polda Metro Jaya akan membuka layanan Samsat di hari Sabtu (19/11/2022). Hal ini disampaikan melalui akun Twitter resmi ";"2022-11-18";1.59350557909571994E18
"Kenapa trotoar samping Graha BNI 46 Sudirman kotor banyak tanah? Ternyata ada pangkalan ojek/ojol parkir tersembunyi dibalik taman yg membuat tanah belepotan ke trotoar. Bgm ini? Ada tindakan??  ";"2022-11-18";1.59349748717181747E18
"13.32 Telah terjadi kebakaran di Pertokoan Kolong Asemka RT.03 RW.06 Kelurahan Pinangsia Tamansari Jakarta Barat,saat ini sedang dalam pendinginan oleh petugas ";"2022-11-18";1.59349230911857459E18
"Mohon izin polisi polisi yg saya hormati ";"2022-11-18";1.59348414998520218E18
