Text;Created-At;Id
jalan Gajah Mada di perempatan jalan Sukarjo Wiryopranoto ke jalan Kyai Haji Zainul Arifin sudah dipasangi benteng beton terkait proyek. Apakah kebijakan Ga-Ge di area itu akan ditinjau, ;14/11/2022;1,59E+34
16.30 Situasi lalu lintas di jalan Daan Mogot jakarta barat arah Tangerang terpantau ramai lancar ;18/11/2022;1,59E+35
07.56 Situasi arus lalu lintas di Kawasan jalan. Daan Mogot Pesing jakarta barat terpantau ramai lancar. ;15/11/2022;1,59E+35
08.58 Situasi arus lalu lintas Traffic Light Daan Mogot baru Jakarta Barat terpantau ramai lancar. ;12/11/2022;1,59E+35
08.58 Situasi arus lalu lintas Traffic Light Daan Mogot baru Jakarta Barat terpantau ramai lancar ;12/11/2022;1,59E+34
16.30 Situasi lalu lintas di jalan. Daan Mogot jakarta barat arah Tangerang terpantau ramai lancar ;18/11/2022;1,59E+35
09.00 Situasi arus lalu lintas di Traffic Light Cempaka Putih jakarta pusat menuju arah Pulogadung maupun arah Sunter terpantau ramai lancar. ;16/11/2022;1,59E+35
09.02 Situasi arus lalu lintas di Traffic Light Kodim Lama Jatinegara jakarta timur menuju arah Buaran maupun arah Kampung Melayu terpantau ramai lancar. ;16/11/2022;1,59E+35
06.36 Situasi lalulintas didpn Terbus Kampung Melayu jakarta timur arah Cawang terpantau ramai lancar ;11/11/2022;1,59E+34
06.35 Antrian panjang GT in Bekasi barat. Ada  jalur yg tdk bisa dipakai. Segera diperbaiki Pak untuk mengurai antrian. Terimakasih. ;17/11/2022;1,59E+35
22.01 Situasi arus lalu lintas di jalan I Gusti Ngurai Rai jakarta timur terpantau lancar. ;14/11/2022;1,59E+35
07.53 Situasi lalu lintas Tarffic Light Buncit Mampang jakarta selatan arah Kuningan & terpantau ramai lancar arah Ragunan Lancar. ;11/11/2022;1,59E+35
07.53 Situasi lalu lintas Tarffic Light Buncit Mampang jakarta selatan arah Kuningan & terpantau ramai lancar arah Ragunan Lancar ;11/11/2022;1,59E+35
09.17 Situasi arus lalu lintas Traffic Light Pejaten Jakarta Selatan terpantau ramai lancar ;18/11/2022;1,59E+35
09.17 Situasi arus lalu lintas Traffic Light Pejaten Jakarta Selatan terpantau ramai lancar ;18/11/2022;1,59E+35
09.45 Situasi arus lalu lintas Traffic Light Pejaten Jakarta Selatan terpantau ramai lancar ;15/11/2022;1,59E+35
16.15 Situasi arus lalu lintas Traffic Light Pejaten Jakarta Selatan terpantau ramai lancar ;18/11/2022;1,59E+35
07.58 Situasi lalu lintas di Traffic Light Basmar Mampang jakarta selatan arah Kuningan ramai lancar, arah sebaliknya arah Ragunan lancar, cuaca hujan ;17/11/2022;1,59E+35
06.40 Situasi arus lalu lintas terkini di jalan Mampang Prapatan terpantau lancar. ;16/11/2022;1,59E+35
09.27 Situasi arus lalu lintas Traffic Light Total Buah Mampang Jakarta Selatan terpantau ramai lancar ;15/11/2022;1,59E+34
05.46 Situasi arus lalu lintas di Traffic Light Raden Inten Kalimalang jakarta timur terpantau ramai lancar. ;18/11/2022;1,59E+35
05.53 Situasi arus lalu lintas di Traffic Light Borobudur Kalimalang jakarta timur terpantau ramai lancar. ;15/11/2022;1,59E+35
06.22 Kabel Listrik turun ke jalan disekitar Tarffic Light Borobudur Kalimalang jakarta timur yg arah ke Pondok Bambu;11/11/2022;1,59E+35
05.46 Situasi arus lalu lintas di Traffic Light Raden Inten Kalimalang jakarta timur terpantau ramai lancar. ;18/11/2022;1,59E+35
06.36 Situasi arus lalu lintas di Kolong Fly Over Jagakarsa jakarta selatan menuju arah Pasar Minggu terpantau ramai lancar. ;18/11/2022;1,59E+35
17.06 Situasi arus lalu lintas di Traffic light Pancoran jakarta selatan dari arah Pasar Minggu menuju arah Tebet terpantau ramai lancar, demikian juga arah sebaliknya ramai lancar. ;16/11/2022;1,59E+34
06.35 Situasi lalulintas di Traffic Light Rindam jakarta timur arah Pasar Minggu terpantau ramai cenderung padat ;11/11/2022;1,59E+35
06.36 Situasi arus lalu lintas di Kolong Fly Over Jagakarsa jakarta selatan menuju arah Pasar Minggu terpantau ramai lancar. ;18/11/2022;1,59E+35
17.06 Situasi arus lalu lintas di Traffic light Pancoran jakarta selatan dari arah Pasar Minggu menuju arah Tebet terpantau ramai lancar, demikian juga arah sebaliknya ramai lancar. ;16/11/2022;1,59E+34
10.34 Situasi arus lalu lintas di jalan Gatot Subroto menuju arah Semanggi terpantau lancar. ;13/11/2022;1,59E+35
21.46 Imbas Proyek Peraspalan Jalan depan gedung Nindya MT Haryono arah Pancoran terjadi kepadatan, bagi pengendara agar menjaga jarak aman kendaraan anda ;13/11/2022;1,59E+35
08.05 Situasi arus lalu lintas terkini di jalan. MT Haryono menuju Pancoran, dan sebaliknya menuju Cawang terpantau lancar. ;13/11/2022;1,59E+35
06.36 Situasi lalulintas didpn Terbus Kampung Melayu jakarta timur arah Cawang terpantau ramai lancar ;11/11/2022;1,59E+35
15.59 Kegiatan Penyampaian Pendapat di depan Menara Thamrin jakarta pusat, Situasi arus lalu linta ramai lancar. ;16/11/2022;1,59E+35
