Text;Created-At;Id
Balapan motor mulai terjadi di Antasari sekitar Cipete Raya - Abdul Majid. Jam 12:18 pagi. ;19/11/2022;1,59E+35
23.29 Sebuah Truk Tangki terbakar di Tol Jakarta-Tangerang dari Cengkareng mengarah Puri Kembangan, saat ini masih dalam penanganan petugas Polri & Damkar. ;18/11/2022;1,59E+35
Jl. Arteri pondok Indah dekat jl bungur banyak motor lawan arah. Mohon penertibam ;18/11/2022;1,59E+34
Info terkini pukul 19:00 WIB Ruas toll PD.Aren -Serpong lalin lancar di kedua arah, cuaca gerimis ;18/11/2022;1,59E+35
17.23 Situasi terkini sore hari wilayah Bandara Soekarno-Hatta setelah dilakukan evakuasi Truck yang mengalami kecelakaan di Tol Sedyatmo KM 29 arah Jakarta ;18/11/2022;1,59E+35
16.49 Situasi lalu lintas di Bundaran HI Jakpus terpantau ramai lancar ;18/11/2022;1,59E+35
16.42 Situasi lalu lintas di Traffic Light Mega Rabbani Jl. Raya Pemuda Rawamangun Pulogadung Jaktim terpantau ramai lancar ;18/11/2022;1,59E+35
Perbaikan halte cawang arah bekasi hanya ada 1 lajur, ada truk parkir. ;18/11/2022;1,59E+35
16.30 Situasi lalu lintas di Jl. Daan Mogot Jakbar arah Tangerang terpantau ramai lancar ;18/11/2022;1,59E+35
16.19 Situasi lalu lintas di Tol Janger Km 1 arah Tomang Lancar arah sebaliknya arah Kebun Jeruk terpantau padat ;18/11/2022;1,59E+35
14.54 Polri Sat PJR Dit Lantas PMJ pengamanan & pengaturan Kecelakaan Lalu Lintas sebuah truk terguling di Tol Sedyatmo KM 29 arah Jakarta, saat ini sedang proses penaganan Polri lalu lintas padat ;18/11/2022;1,59E+35
Mana ini robot damkar DKI ko gak pernah kelihatan? ;18/11/2022;1,59E+35
Polda Metro Jaya akan membuka layanan Samsat di hari Sabtu (19/11/2022). Hal ini disampaikan melalui akun Twitter resmi ;18/11/2022;1,59E+35
Kenapa trotoar samping Graha BNI 46 Sudirman kotor banyak tanah? Ternyata ada pangkalan ojek/ojol parkir tersembunyi dibalik taman yg membuat tanah belepotan ke trotoar. Bgm ini? Ada tindakan??  ;18/11/2022;1,59E+35
13.32 Telah terjadi kebakaran di Pertokoan Kolong Asemka RT.03 RW.06 Kelurahan Pinangsia Tamansari Jakarta Barat,saat ini sedang dalam pendinginan oleh petugas ;18/11/2022;1,59E+35
Mohon izin polisi polisi yg saya hormati ;18/11/2022;1,59E+35
12.47 Situasi arus lalu lintas Traffic Light Asia Afrika Jakarta Pusat terpantau lancar ;18/11/2022;1,59E+35
10.40 Polri Sat Lantas Jakpus melakukan pengaturan dan pengamanan aksi penyampaian pendapat di depan Gedung Balaikota Jakarta Pusat ;18/11/2022;1,59E+35
Pakailah Helm yg Klik sesuai SNI (Standar Nasional Indonesia) untuk menjaga keselamatan anda. ;18/11/2022;1,59E+33
09.45 Polri Sat Lantas Jakut peneguran dengan Humanis pengendara tidak memakai helm di Tarffic Light Permai Jakarta Utara ;18/11/2022;1,59E+35
Pak Heru sdh saatnya kampanye besar besaran & ciptakan budaya malu via sindiran menohok di videotron soal: nyampah, lawan arus, terobos TL, dll yg selama ini tdk pernah ada & berani dieksekusi. Pasti bisa cerdaskan warga DKI! ;18/11/2022;1,59E+35
09.17 Situasi arus lalu lintas Traffic Light Pejaten Jakarta Selatan terpantau ramai lancar ;18/11/2022;1,59E+35
09.17 Situasi arus lalu lintas Traffic Light Pejaten Jakarta Selatan terpantau ramai lancar ;18/11/2022;1,59E+35
09.13 Polri Sat Lantas Jaktim melakukan kegiatan JUMAT BAROKAH dengan membagikan SEMBAKO kepada warga sekitar Pos Garuda Makasar Jaktim ;18/11/2022;1,59E+35
Kok peneguran? Sudah terjadi pelanggaran. Tindak dengan Foto kirim surat tilang... hadeeeh. Berubah jadi lebih baik, jujur dan tegas...bukan jadi baik, ramah dan lembek | ;18/11/2022;1,59E+35
Kasihan Pak.. twit bapak ini ga pernah di tanggapi.. ;18/11/2022;1,59E+35
07.45 Situasi arus lalu lintas di Traffic Light Patung Kuda Monas Jakpus terpantau cukup padat. ;18/11/2022;1,59E+35
07.45 Situasi arus lalu lintas di Traffic Light Patung Kuda Monas Jakpus terpantau cukup padat. ;18/11/2022;1,59E+35
Lokasi Pelayanan Samsat Keliling JADETABEK Jumat, 18 Nopember 2022. ;18/11/2022;1,59E+35
07.21 Situasi arus lalu lintas di Traffic Light Fatmawati Jaksel terpantau ramai lancar. ;18/11/2022;1,59E+35
07.05 Situasi arus lalu lintas di Traffic Light Harmoni Jakpus menuju arah Pasar Baru maupun arah Jl. Suryopranoto terpantau ramai lancar. ;18/11/2022;1,59E+35
06.52 Situasi arus lalu lintas di Ruas Tol Dalam Kota KM 00+400 (Halim) maupun Jalur Contraflow terpantau ramai lancar. ;18/11/2022;1,59E+35
06.36 Situasi arus lalu lintas di Kolong Fly Over Jagakarsa Jaksel menuju arah Pasar Minggu terpantau ramai lancar. ;18/11/2022;1,59E+35
06.36 Situasi arus lalu lintas di Kolong Fly Over Jagakarsa Jaksel menuju arah Pasar Minggu terpantau ramai lancar. ;18/11/2022;1,59E+35
06.16 Situasi arus lalu lintas di Traffic Light Tugu Tani Jakpus terpantau ramai lancar. ;18/11/2022;1,59E+35
