"Created-At";"Text";"Id"
2022-11-19;"#Polisi #Jakarta #DKIJakarta @TMCPoldaMetro: 'LOKASI PELAYANAN #SIMKELILING Sabtu, 19 November 2022 Pukul 08.00 s/d 12.00Wib :
Jaktim : Mall Grand Cakung.
Jaksel : Kampus Trilogi Kalibata.
Jakbar : LTC Glodok & Mall Cit… https://t.co/yXvcO61XVj, see more https://t.co/oJIVLJWxWl";"1593753285952819202"
2022-11-19;"RT @TMCPoldaMetro: 13.32 Telah terjadi kebakaran di Pertokoan Kolong Asemka RT.03 RW.06 Kelurahan Pinangsia Tamansari Jakarta Barat,saat in…";"1593748111360335872"
2022-11-19;"@TMCPoldaMetro Hari ini kantor polda buka ga min? mau proses balik nama bpkb nih";"1593746838401609728"
2022-11-19;"LOKASI PELAYANAN #SIMKELILING Sabtu, 19 November 2022 Pukul 08.00 s/d 12.00Wib :
Jaktim : Mall Grand Cakung.
Jaksel : Kampus Trilogi Kalibata.
Jakbar : LTC Glodok & Mall Citraland.
Jakpus : Kantor Pos Lapangan Banteng https://t.co/jeL2zHCd7Z";"1593745685542993920"
2022-11-19;"06:16 WIB, Situasi lalin KM 1+600 Arah Andara-Brigif dan arah Antasari-Fatmawati/Tol Jorr Lancar, Hati-hati Dalam Berkendara, Jaga Jarak Aman (Tr/Hdr.)
@TMCPoldaMetro
@PTJASAMARGA
@SenkomCMNP
@SonoraFM92 https://t.co/GiQShKGKIm";"1593745084172099585"
2022-11-19;"19 November 2022
Motor Geber jam 0502
Portal Pesona Kalisari 
@TMCPoldaMetro
@DivHumas_Polri
@NTMCLantasPolri

 #MotorGeber #knalpotBising";"1593726494580539392"
2022-11-19;"RT @CatatanPelajarJ: Ada tawuran pelajar di kamp.rambutan @TMCPoldaMetro https://t.co/BfzOC63xZL";"1593704972121956352"
2022-11-19;"RT @TMCPoldaMetro: 23.29 Sebuah Truk Tangki terbakar di Tol Jakarta-Tangerang dari Cengkareng mengarah Puri Kembangan, saat ini masih dalam…";"1593702445569708032"
2022-11-19;"RT @TMCPoldaMetro: 23.29 Sebuah Truk Tangki terbakar di Tol Jakarta-Tangerang dari Cengkareng mengarah Puri Kembangan, saat ini masih dalam…";"1593700653733273600"
2022-11-19;"RT @TMCPoldaMetro: 23.29 Sebuah Truk Tangki terbakar di Tol Jakarta-Tangerang dari Cengkareng mengarah Puri Kembangan, saat ini masih dalam…";"1593693988229292032"
2022-11-19;"Samsat DKI Jakarta Buka di Hari Sabtu, Catat Lokasinya
https://t.co/FRUdAuPxk4
@parboaboa @TMCPoldaMetro 
 #Samsatdkijakarta  #pajakkendaraan  #metropolitan";"1593686022029967361"
2022-11-19;"@TMCPoldaMetro Bsk suami saya akan ke 4 kalinya ujian praktek bikin sim padahal sebelumnya udh punya sim, krn ga perpanjang harus bikin ulang. Aneh deh sampe 3x gagal diujian praktek sedangkan teorinya dia dpt hasil bagus bgt.
Katanya mau berantas calo? Kok yg gapake calo disulitkan pak?";"1593679155840761856"
2022-11-19;"RT @TMCPoldaMetro: 23.29 Sebuah Truk Tangki terbakar di Tol Jakarta-Tangerang dari Cengkareng mengarah Puri Kembangan, saat ini masih dalam…";"1593675685062914048"
2022-11-19;"RT @TMCPoldaMetro: 23.29 Sebuah Truk Tangki terbakar di Tol Jakarta-Tangerang dari Cengkareng mengarah Puri Kembangan, saat ini masih dalam…";"1593668718454009856"
2022-11-19;"18 November 2022
Motor Geber jam 1942 -1945
Portal Pesona Kalisari 
@TMCPoldaMetro
@DivHumas_Polri
@NTMCLantasPolri
 #MotorGeber #knalpotBising https://t.co/aD9IWqvrTl via @YouTube";"1593663597288120320"
2022-11-19;"RT @TMCPoldaMetro: 23.29 Sebuah Truk Tangki terbakar di Tol Jakarta-Tangerang dari Cengkareng mengarah Puri Kembangan, saat ini masih dalam…";"1593657128816082944"
2022-11-19;"@kidippiw @apiiiinnns @apiinnnns @TMCPoldaMetro @DivHumas_Polri Gue pantengin terus siapa tau dia tiba2 aktif lagi. Moga aja dia balikin duit gue";"1593655973196931072"
2022-11-19;"Balapan motor mulai terjadi di Antasari sekitar Cipete Raya - Abdul Majid. Jam 12:18 pagi. @TMCPoldaMetro";"1593654973870460930"
2022-11-18;"@mrssmin93 @apiiiinnns @apiinnnns @TMCPoldaMetro @DivHumas_Polri aku udh cb telpon pke pulsa tp nomer nya ga aktif";"1593649268698775553"
2022-11-18;"@mrssmin93 @apiiiinnns @apiinnnns @TMCPoldaMetro @DivHumas_Polri aku ad tp di blokir sm dia";"1593649171319623680"
